Scheme Code;Scheme Name;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Equity Scheme - Multi Cap Fund )


Mirae Asset Mutual Fund
151810;Mirae Asset Multicap Fund - Direct Plan - Growth;INF769K01KK8;;10.051;;;22-Aug-2023
151810;Mirae Asset Multicap Fund - Direct Plan - Growth;INF769K01KK8;;10.097;;;23-Aug-2023
151810;Mirae Asset Multicap Fund - Direct Plan - Growth;INF769K01KK8;;10.105;;;24-Aug-2023
151810;Mirae Asset Multicap Fund - Direct Plan - Growth;INF769K01KK8;;10.065;;;25-Aug-2023
151810;Mirae Asset Multicap Fund - Direct Plan - Growth;INF769K01KK8;;10.089;;;28-Aug-2023
151810;Mirae Asset Multicap Fund - Direct Plan - Growth;INF769K01KK8;;10.124;;;29-Aug-2023
151810;Mirae Asset Multicap Fund - Direct Plan - Growth;INF769K01KK8;;10.170;;;30-Aug-2023
151810;Mirae Asset Multicap Fund - Direct Plan - Growth;INF769K01KK8;;10.191;;;31-Aug-2023
151810;Mirae Asset Multicap Fund - Direct Plan - Growth;INF769K01KK8;;10.275;;;01-Sep-2023
151810;Mirae Asset Multicap Fund - Direct Plan - Growth;INF769K01KK8;;10.341;;;04-Sep-2023
151810;Mirae Asset Multicap Fund - Direct Plan - Growth;INF769K01KK8;;10.377;;;05-Sep-2023
151810;Mirae Asset Multicap Fund - Direct Plan - Growth;INF769K01KK8;;10.389;;;06-Sep-2023
151810;Mirae Asset Multicap Fund - Direct Plan - Growth;INF769K01KK8;;10.465;;;07-Sep-2023
151810;Mirae Asset Multicap Fund - Direct Plan - Growth;INF769K01KK8;;10.512;;;08-Sep-2023
151810;Mirae Asset Multicap Fund - Direct Plan - Growth;INF769K01KK8;;10.571;;;11-Sep-2023
151810;Mirae Asset Multicap Fund - Direct Plan - Growth;INF769K01KK8;;10.412;;;12-Sep-2023
151810;Mirae Asset Multicap Fund - Direct Plan - Growth;INF769K01KK8;;10.459;;;13-Sep-2023
151810;Mirae Asset Multicap Fund - Direct Plan - Growth;INF769K01KK8;;10.514;;;14-Sep-2023
151810;Mirae Asset Multicap Fund - Direct Plan - Growth;INF769K01KK8;;10.570;;;15-Sep-2023
151810;Mirae Asset Multicap Fund - Direct Plan - Growth;INF769K01KK8;;10.511;;;18-Sep-2023
151810;Mirae Asset Multicap Fund - Direct Plan - Growth;INF769K01KK8;;10.450;;;20-Sep-2023
151810;Mirae Asset Multicap Fund - Direct Plan - Growth;INF769K01KK8;;10.377;;;21-Sep-2023
